"SysExp","Processeur","RefProcesseur","Mémoire","Disque Dur","Carte Graphique","Réf Carte graphique","Taille Ecran","NomDuProduit","Prix","ImageDuProduit","Fabricant","NomDuFabricant"
"Windows 11","Intel Core i5","i5-10500H 10è Génération, up to 4.5 GHz, 12 Mo de mémoire cache","16 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050 Ti, 4 Go de mémoire Dédiée","15.6""","Pc portable Gamer MSI Katana GF66 12UD-217TN ",3869,"https://www.tunisianet.com.tn/239965-large/pc-portable-gamer-msi-katana-gf66-12ud-217tn-i5-12e-gen-rtx-3050-ti-4go-16-go-windows-11.jpg","https://www.tunisianet.com.tn/img/m/339.jpg","MSI"
"FreeDos","Intel Core i5","Processeur Intel Core i5-10300H, (up to 4.5 Ghz, 8 Mo de mémoire cache)","20 Go","512 Go SSD","Graphique Intégrée","Intel Iris Xe","14""","Pc Portable Dell Latitude 5420 ",3864,"https://www.tunisianet.com.tn/249907-large/pc-portable-dell-latitude-5420-i7-11e-gen-20-go-512-go-ssd.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
"FreeDos","Intel Core i5","Processeur Intel Core i5-10300H, (up to 4.5 Ghz, 8 Mo de mémoire cache)","32 Go","512 Go SSD","Graphique Intégrée","Intel Iris Xe","14""","Pc Portable Dell Latitude 5420 ",3828,"https://www.tunisianet.com.tn/249899-large/pc-portable-dell-latitude-5420-i7-11e-gen-32-go-512-go-ssd.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
"FreeDos","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","16 Go","512 Go SSD","Graphique Intégrée","Intel Iris Xe","14""","Pc Portable Dell Latitude 5420 ",3819,"https://www.tunisianet.com.tn/233286-large/pc-portable-dell-latitude-5420-i7-11e-gen-16-go-512-go-ssd.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
"Windows 11","Intel Core i5","Processeur Intel Core i5-10300H, (up to 4.5 Ghz, 8 Mo de mémoire cache)","16 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3050 Ti, 4 Go de mémoire Dédiée","17.3""","PC Portable HP Pavilion Gaming 17-CD2005NK ",3799,"https://www.tunisianet.com.tn/243277-large/pc-portable-hp-pavilion-gaming-17-cd2005nk-i7-11e-gen-16-go-rtx-3050ti-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","16 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050 Ti, 4 Go de mémoire Dédiée","17.3""","Pc portable Asus ROG Strix G17 G713IE-HX004W ",3798,"https://www.tunisianet.com.tn/255960-large/pc-portable-asus-rog-strix-g17-g713ie-hx004w-ryzen-7-4800h-16-go-gris.jpg","https://www.tunisianet.com.tn/img/m/79.jpg","Asus"
"FreeDos","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","16 Go","512 Go SSD","Graphique Intégrée","Intel Iris X","14""","Pc Portable Dell Latitude 7420 ",3789,"https://www.tunisianet.com.tn/233278-large/pc-portable-dell-latitude-7420-i5-11e-gen-16-go-512-go-ssd.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
"Windows 11","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","48 Go"," 1 To + 256 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050 Ti, 4 Go de mémoire Dédiée","15.6""","Pc portable HP Pavilion Gaming 15-ec2009nk ",3789,"https://www.tunisianet.com.tn/250371-large/pc-portable-hp-pavilion-gaming-15-ec2009nk-ryzen-7-5800h-48-go-rtx-3050-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","16 Go","512 Go SSD","Graphique Intégrée","Intel Iris X","14""","Pc Portable Asus Zenbook UX325EA ",3779,"https://www.tunisianet.com.tn/230748-large/pc-portable-asus-zenbook-ux325ea-i7-11e-gen-16-go-gris.jpg","https://www.tunisianet.com.tn/img/m/79.jpg","Asus"
"Windows 11","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","24 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3060, 6 Go de mémoire dédiée","16""","Pc portable HP Victus 16-e0007nk ",3769,"https://www.tunisianet.com.tn/239656-large/pc-portable-hp-victus-16-e0007nk-ryzen-5-5600h-24-go-rtx-3060-6g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 11","Intel Core i5","i5-10500H 10è Génération, up to 4.5 GHz, 12 Mo de mémoire cache","24 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3060, 6 Go de mémoire dédiée","16""","Pc portable HP Victus 16-d0007nk ",3764,"https://www.tunisianet.com.tn/239892-large/pc-portable-hp-victus-16-d0007nk-i5-11e-gen-24-go-rtx-3060-6g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","24 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3060, 6 Go de mémoire dédiée","16""","Pc portable HP Victus 16-d0001nk ",3764,"https://www.tunisianet.com.tn/237577-large/pc-portable-hp-victus-16-d0001nk-i5-11e-gen-24-go-rtx-3060-6g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","8 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050 Ti, 4 Go de mémoire Dédiée","17.3""","Pc portable Asus ROG Strix G17 G713IE-HX004W ",3759,"https://www.tunisianet.com.tn/258034-large/pc-portable-asus-rog-strix-g17-g713ie-hx004w-ryzen-7-4800h-8-go-gris-garantie-2-ans.jpg","https://www.tunisianet.com.tn/img/m/79.jpg","Asus"
"Windows 11","Intel Core i5","i5-10500H 10è Génération, up to 4.5 GHz, 12 Mo de mémoire cache","48 Go"," 1 To + 256 Go SSD","Nvidia GeForce","NVIDIA GeForce GTX 1650, 4 Go de mémoire dédiée","17.3""","Pc portable HP Pavilion Gaming 17-cd2009nk ",3755,"https://www.tunisianet.com.tn/250341-large/pc-portable-hp-pavilion-gaming-17-cd2009nk-i7-11e-gen-48-go.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i5","Processeur Intel Core i5-10300H, (up to 4.5 Ghz, 8 Mo de mémoire cache)","16 Go","512 Go SSD","Graphique Intégrée","Intel Iris X","15.6""","Pc portable HP ENVY x360 15-es0001nk Tactile ",3739,"https://www.tunisianet.com.tn/200952-large/pc-portable-hp-envy-x360-15-es0001nk-tactile-i7-11e-gen-16-go-512-go-ssd-gris.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"FreeDos","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","24 Go","512 Go SSD","Graphique Intégrée","Intel Iris Xe","14""","Pc Portable Dell Latitude 5420 ",3728,"https://www.tunisianet.com.tn/249864-large/pc-portable-dell-latitude-5420-i7-11e-gen-24-go-512-go-ssd.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
"Windows 10","Intel Core i5","Intel Core i7-1065G7, 1.30 GHz jusqu'à 3.90 GHz, 8 Mo de cache","24 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050, 4 Go de mémoire dédiée","14""","Pc portable Asus VivoBook Pro 14X OLED ",3728,"https://www.tunisianet.com.tn/221970-large/pc-portable-asus-vivobook-pro-14x-oled-i5-11e-gen-24-go-rtx-3050-4g-noir.jpg","https://www.tunisianet.com.tn/img/m/79.jpg","Asus"
"Windows 10","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","32 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3060, 6 Go de mémoire dédiée","16""","PC Portable HP Victus 16-e0001nk ",3709,"https://www.tunisianet.com.tn/243176-large/pc-portable-hp-victus-16-e0001nk-amd-ryzen-5-32-go-rtx-3060-6g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"FreeDos","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","16 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050, 4 Go de mémoire dédiée","15.6""","Pc portable Gamer MSI Katana GF66 12UC-221XFR ",3699,"https://www.tunisianet.com.tn/239970-large/pc-portable-gamer-msi-katana-gf66-12uc-221xfr-i7-12e-gen-rtx-3050-4go-16-go.jpg","https://www.tunisianet.com.tn/img/m/339.jpg","MSI"
"Windows 10","Intel Core i5","Processeur Intel Core i5-10300H, (up to 4.5 Ghz, 8 Mo de mémoire cache)","8 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050 Ti, 4 Go de mémoire Dédiée","17.3""","Pc portable Asus ROG Strix G17 G713IE-HX004W ",3699,"https://www.tunisianet.com.tn/222709-large/pc-portable-asus-rog-strix-g17-g713ie-hx004w-ryzen-7-4800h-8-go-gris.jpg","https://www.tunisianet.com.tn/img/m/79.jpg","Asus"
"Windows 10","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","24 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050 Ti, 4 Go de mémoire Dédiée","15.6""","Pc portable Asus TUF Gaming FX516PE ",3694,"https://www.tunisianet.com.tn/250719-large/pc-portable-asus-tuf-gaming-fx516pe-i7-11e-gen-24-go-rtx-3050ti-gris-1-jeu-au-choix-offert.jpg","https://www.tunisianet.com.tn/img/m/79.jpg","Asus"
"Windows 10","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","32 Go"," 1 To + 256 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050 Ti, 4 Go de mémoire Dédiée","15.6""","Pc portable HP Pavilion Gaming 15-dk2007nk ",3669,"https://www.tunisianet.com.tn/231036-large/pc-portable-hp-pavilion-gaming-15-dk2007nk-i7-11e-gen-32-go.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"FreeDos","Intel Core i5","Processeur Intel Core i5-10300H, (up to 4.5 Ghz, 8 Mo de mémoire cache)","32 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050, 4 Go de mémoire dédiée","15.6""","Pc portable Gamer MSI Sword 15 12U ",3659,"https://www.tunisianet.com.tn/249938-large/pc-portable-gamer-msi-sword-15-12u-i5-12e-gen-rtx-3050-4go-32-go.jpg","https://www.tunisianet.com.tn/img/m/339.jpg","MSI"
"Windows 11","AMD Ryzen 5","AMD Ryzen 5 5600U, Jusqu'à 4.2 Ghz, 16 Mo de mémoire cache","24 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3050, 4 Go de mémoire dédiée","17.3""","PC Portable HP Pavilion Gaming 17-CD2006NK ",3654,"https://www.tunisianet.com.tn/244145-large/pc-portable-hp-pavilion-gaming-17-cd2006nk-i7-11e-gen-24-go-rtx-3050-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 11","Intel Core i5","Processeur Intel Core i5-10300H, (up to 4.5 Ghz, 8 Mo de mémoire cache)","16 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3060, 6 Go de mémoire dédiée","16""","Pc portable HP Victus 16-d0007nk ",3649,"https://www.tunisianet.com.tn/237037-large/pc-portable-hp-victus-16-d0007nk-i5-11e-gen-16-go-rtx-3060-6g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i5","Intel Core i5-11300H 11è Génération, 3.10 GHz up to 4.4 GHz, 8 Mo de mémoire cache","16 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3060, 6 Go de mémoire dédiée","16""","Pc portable HP Victus 16-d0001nk ",3649,"https://www.tunisianet.com.tn/237490-large/pc-portable-hp-victus-16-d0001nk-i5-11e-gen-16-go-rtx-3060-6g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"FreeDos","Intel Core i5","Intel Core i7-1065G7, 1.30 GHz jusqu'à 3.90 GHz, 8 Mo de cache","32 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050, 4 Go de mémoire dédiée","15.6""","Pc portable Gamer MSI Katana GF66 12UC-222XFR ",3649,"https://www.tunisianet.com.tn/249609-large/pc-portable-gamer-msi-katana-gf66-12uc-222xfr-i5-12e-gen-rtx-3050-4go-32-go.jpg","https://www.tunisianet.com.tn/img/m/339.jpg","MSI"
"Windows 10","AMD Ryzen 5","Processeur AMD Ryzen 5-5600H , up to 4.2 GHz , 16 Mo de mémoire cache","16 Go","512 Go SSD","Graphique Intégrée","AMD Radeon Graphics","14""","Pc portable Asus Zenbook 14 UM425UA ",3649,"https://www.tunisianet.com.tn/230759-large/pc-portable-asus-zenbook-14-um425ua-ryzen-7-4700u-16-go.jpg","https://www.tunisianet.com.tn/img/m/79.jpg","Asus"
"FreeDos","Intel Core i5","Intel Core i5-1145G7, 11è Génération, up to 4.4 Ghz, 8 Mo de mémoire cache","24 Go","512 Go SSD","Graphique Intégrée","Intel Iris Xe","15.6""","Pc Portable Dell Latitude 5520 ",3648,"https://www.tunisianet.com.tn/238082-large/pc-portable-dell-latitude-5520-i7-11e-gen-24-go-512-go-ssd.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
"Windows 11","Intel Core i5","i5-10500H 10è Génération, up to 4.5 GHz, 12 Mo de mémoire cache","48 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3050 Ti, 4 Go de mémoire Dédiée","15.6""","Pc portable HP Pavilion Gaming 15-dk2016nk ",3639,"https://www.tunisianet.com.tn/250306-large/pc-portable-hp-pavilion-gaming-15-dk2016nk-i5-11e-gen-48-go-rtx-3050-ti-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 11","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","16 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3060, 6 Go de mémoire dédiée","16""","Pc portable HP Victus 16-e0007nk ",3639,"https://www.tunisianet.com.tn/237049-large/pc-portable-hp-victus-16-e0007nk-ryzen-5-5600h-16-go-rtx-3060-6g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 11","AMD Ryzen 7","AMD Ryzen 7 5700U, up to 4.3 GHz, 8 Mo de mémoire cache","32 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3050 Ti, 4 Go de mémoire Dédiée","17.3""","PC Portable HP Pavilion Gaming 17-CD2007NK ",3629,"https://www.tunisianet.com.tn/244643-large/pc-portable-hp-pavilion-gaming-17-cd2007nk-i5-11e-gen-32-go-rtx-3050ti-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"FreeDos","Intel Core i5","i5-10500H 10è Génération, up to 4.5 GHz, 12 Mo de mémoire cache","16 Go","512 Go SSD","Graphique Intégrée","Intel Iris Xe","14""","Pc Portable Dell Latitude 5420 ",3629,"https://www.tunisianet.com.tn/209263-large/pc-portable-dell-latitude-5420-i7-11e-gen-16-go-512-go-ssd.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
"Windows 10","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","16 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050 Ti, 4 Go de mémoire Dédiée","15.6""","Pc portable Asus TUF Gaming FX516PE ",3599,"https://www.tunisianet.com.tn/246018-large/pc-portable-asus-tuf-gaming-fx516pe-i7-11e-gen-16-go-rtx-3050ti-gris-1-jeu-au-choix-offert.jpg","https://www.tunisianet.com.tn/img/m/79.jpg","Asus"
"Windows 10","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","24 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3060, 6 Go de mémoire dédiée","16""","PC Portable HP Victus 16-e0001nk ",3594,"https://www.tunisianet.com.tn/243188-large/pc-portable-hp-victus-16-e0001nk-amd-ryzen-5-24-go-rtx-3060-6g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","32 Go","512 Go SSD","Graphique Intégrée","Intel Iris Xe","15.6""","Pc portable Asus Vivobook Pro 15 OLED ",3558,"https://www.tunisianet.com.tn/221985-large/pc-portable-asus-vivobook-pro-15-oled-i7-11e-gen-32-go.jpg","https://www.tunisianet.com.tn/img/m/79.jpg","Asus"
"Windows 10","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","24 Go"," 1 To + 256 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050 Ti, 4 Go de mémoire Dédiée","15.6""","Pc portable HP Pavilion Gaming 15-dk2007nk ",3554,"https://www.tunisianet.com.tn/231030-large/pc-portable-hp-pavilion-gaming-15-dk2007nk-i7-11e-gen-24-go.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"FreeDos","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","16 Go","512 Go SSD","Graphique Intégrée","Intel Iris X","15.6""","Pc Portable Dell Latitude 5520 ",3549,"https://www.tunisianet.com.tn/214791-large/pc-portable-dell-latitude-5520-i7-11e-gen-16-go-512-go-ssd.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
"FreeDos","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","24 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050, 4 Go de mémoire dédiée","15.6""","Pc portable Gamer MSI Sword 15 12U ",3549,"https://www.tunisianet.com.tn/249932-large/pc-portable-gamer-msi-sword-15-12u-i5-12e-gen-rtx-3050-4go-24-go.jpg","https://www.tunisianet.com.tn/img/m/339.jpg","MSI"
"Windows 11","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","32 Go"," 1 To + 256 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050 Ti, 4 Go de mémoire Dédiée","15.6""","Pc portable HP Pavilion Gaming 15-ec2009nk ",3539,"https://www.tunisianet.com.tn/250364-large/pc-portable-hp-pavilion-gaming-15-ec2009nk-ryzen-7-5800h-32-go-rtx-3050-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"FreeDos","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","24 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050, 4 Go de mémoire dédiée","15.6""","Pc portable Gamer MSI Katana GF66 12UC-222XFR ",3539,"https://www.tunisianet.com.tn/249604-large/pc-portable-gamer-msi-katana-gf66-12uc-222xfr-i5-12e-gen-rtx-3050-4go-24-go.jpg","https://www.tunisianet.com.tn/img/m/339.jpg","MSI"
"Windows 11","AMD Ryzen 7","AMD Ryzen 7-5800H, Up To 4.4 Ghz, 16 Mo Total Cache","16 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3050, 4 Go de mémoire dédiée","17.3""","PC Portable HP Pavilion Gaming 17-CD2006NK ",3539,"https://www.tunisianet.com.tn/243278-large/pc-portable-hp-pavilion-gaming-17-cd2006nk-i7-11e-gen-16-go-rtx-3050-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i5","Intel Core i5-11300H 11è Génération, 3.10 GHz up to 4.4 GHz, 8 Mo de mémoire cache","16 Go","512 Go SSD","Nvidia GeForce","nVIDIA GeForce MX450, 2 Go de mémoire dédiée","14""","Pc portable Asus Zenbook 14 UM425 ",3539,"https://www.tunisianet.com.tn/220348-large/pc-portable-asus-zenbook-14-um425-ryzen-7-16-go.jpg","https://www.tunisianet.com.tn/img/m/79.jpg","Asus"
"Windows 11","AMD Ryzen 5","Processeur AMD Ryzen 5-5600H , up to 4.2 GHz , 16 Mo de mémoire cache","32 Go"," 1 To + 256 Go SSD","Nvidia GeForce","NVIDIA GeForce GTX 1650, 4 Go de mémoire dédiée","17.3""","Pc portable HP Pavilion Gaming 17-cd2009nk ",3515,"https://www.tunisianet.com.tn/250335-large/pc-portable-hp-pavilion-gaming-17-cd2009nk-i7-11e-gen-32-go.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 11","Intel Core i5","i5-10500H 10è Génération, up to 4.5 GHz, 12 Mo de mémoire cache","24 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3050 Ti, 4 Go de mémoire Dédiée","17.3""","PC Portable HP Pavilion Gaming 17-CD2007NK ",3514,"https://www.tunisianet.com.tn/244638-large/pc-portable-hp-pavilion-gaming-17-cd2007nk-i5-11e-gen-24-go-rtx-3050ti-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i5","Processeur Intel Core i5-10300H, (up to 4.5 Ghz, 8 Mo de mémoire cache)","16 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050 Ti, 4 Go de mémoire Dédiée","16""","Pc Portable Gaming HP OMEN 16-c0002nk ",3499,"https://www.tunisianet.com.tn/241149-large/pc-portable-gaming-hp-omen-16-c0002nk-ryzen-5-5600h-16-go.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"FreeDos","Intel Core i5","Intel Core i7-1065G7, 1.30 GHz jusqu'à 3.90 GHz, 8 Mo de cache","16 Go","512 Go SSD","Graphique Intégrée","Intel Iris Xe","15.6""","PC Portable Dell Latitude 5520 Tactile ",3489,"https://www.tunisianet.com.tn/253726-large/pc-portable-dell-latitude-5520-tactile-i5-11e-gen-16-go-512-go-ssd.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
"Windows 10","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","16 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3060, 6 Go de mémoire dédiée","16""","Pc portable HP Victus 16-e0001nk ",3479,"https://www.tunisianet.com.tn/243152-large/pc-portable-hp-victus-16-e0001nk-amd-ryzen-5-16-go-rtx-3060-6g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","24 Go","512 Go SSD","Graphique Intégrée","Intel Iris Xe","15.6""","Pc portable Asus Vivobook Pro 15 OLED ",3458,"https://www.tunisianet.com.tn/221981-large/pc-portable-asus-vivobook-pro-15-oled-i7-11e-gen-24-go.jpg","https://www.tunisianet.com.tn/img/m/79.jpg","Asus"
"Windows 11","Intel Core i5","Processeur Intel Core i5-10300H, (up to 4.5 Ghz, 8 Mo de mémoire cache)","32 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3050 Ti, 4 Go de mémoire Dédiée","15.6""","Pc portable HP Pavilion Gaming 15-dk2016nk ",3449,"https://www.tunisianet.com.tn/239227-large/pc-portable-hp-pavilion-gaming-15-dk2016nk-i5-11e-gen-32-go-rtx-3050-ti-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","8 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050, 4 Go de mémoire dédiée","14""","Pc portable Asus VivoBook Pro 14X OLED ",3449,"https://www.tunisianet.com.tn/221872-large/pc-portable-asus-vivobook-pro-14x-oled-i5-11e-gen-8-go-rtx-3050-4g-noir.jpg","https://www.tunisianet.com.tn/img/m/79.jpg","Asus"
"Windows 10","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","16 Go"," 1 To + 256 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050 Ti, 4 Go de mémoire Dédiée","15.6""","Pc portable HP Pavilion Gaming 15-dk2007nk ",3439,"https://www.tunisianet.com.tn/228548-large/pc-portable-hp-pavilion-gaming-15-dk2007nk-i7-11e-gen-16-go.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"FreeDos","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","16 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050, 4 Go de mémoire dédiée","15.6""","Pc portable Gamer MSI Sword 15 12U ",3439,"https://www.tunisianet.com.tn/239989-large/pc-portable-gamer-msi-sword-15-12u-i5-12e-gen-rtx-3050-4go-16-go.jpg","https://www.tunisianet.com.tn/img/m/339.jpg","MSI"
"FreeDos","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","16 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050, 4 Go de mémoire dédiée","15.6""","Pc portable Gamer MSI Katana GF66 12UC-222XFR ",3425,"https://www.tunisianet.com.tn/239960-large/pc-portable-gamer-msi-katana-gf66-12uc-222xfr-i5-12e-gen-rtx-3050-4go-16-go.jpg","https://www.tunisianet.com.tn/img/m/339.jpg","MSI"
"Windows 11","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","24 Go"," 1 To + 256 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050 Ti, 4 Go de mémoire Dédiée","15.6""","Pc portable HP Pavilion Gaming 15-ec2009nk ",3424,"https://www.tunisianet.com.tn/250357-large/pc-portable-hp-pavilion-gaming-15-ec2009nk-ryzen-7-5800h-24-go-rtx-3050-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"FreeDos","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","16 Go","512 Go SSD","Graphique Intégrée","Intel Iris Xe","15.6""","Pc Portable Dell Latitude 5520 ",3419,"https://www.tunisianet.com.tn/226706-large/pc-portable-dell-latitude-5520-i7-11e-gen-16-go-512-go-ssd.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
