"SysExp","Processeur","RefProcesseur","Mémoire","Disque Dur","Carte Graphique","Réf Carte graphique","Taille Ecran","NomDuProduit","Prix","ImageDuProduit","Fabricant","NomDuFabricant"
"Windows 10","Intel Core i7","Intel Core i7-10875H, (up to 5.1 Ghz, 16 Mo de cache)","32 Go","1 To","Graphique Intégrée","Intel Iris Xe","15.6""","Pc portable HP 15-dw3013nk ",2085,"https://www.tunisianet.com.tn/210381-large/pc-portable-hp-15-dw3013nk-i5-11e-gen-32-go-silver-.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i7","Intel Core i7-10750H, ( up to 5 Ghz, 12 Mo de cache )","20 Go","512 Go SSD","AMD Radeon","amd radeon rx vega 10 ","15.6""","PC Portable Lenovo IdeaPad 3 15ADA05 ",2082,"https://www.tunisianet.com.tn/255099-large/pc-portable-lenovo-ideapad-3-15ada05-amd-ryzen-7-20-go-512-go-ssd-windows-10-bleu.jpg","https://www.tunisianet.com.tn/img/m/3.jpg","Lenovo"
"FreeDos","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","8 Go","512 Go SSD","Graphique Intégrée","Nvidia Geforce MX350, 2 Go de Mémoire Dédiée","15.6""","Pc Portable Lenovo IdeaPad 3 15ITL6 ",2079,"https://www.tunisianet.com.tn/244117-large/pc-portable-lenovo-ideapad-3-15itl6-i5-11e-gen-8-go-bleu.jpg","https://www.tunisianet.com.tn/img/m/3.jpg","Lenovo"
"Windows 10","Intel Core i7","Intel Core i7-11800H, 11éme Génération, 2.3 Ghz up to 4.6 Ghz, 24 Mo de mémoire cache","24 Go","1 To","Nvidia GeForce","Nvidia Geforce MX350, 2 Go de Mémoire Dédiée","15.6""","Pc portable HP 15-dw3010nk ",2079,"https://www.tunisianet.com.tn/192329-large/pc-portable-hp-15-dw3010nk-i5-11e-gen-24-go-noir-antivirus-bitdefender-internet-security.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i7","Intel Core i7-11800H, 11éme Génération, 2.3 Ghz up to 4.6 Ghz, 24 Mo de mémoire cache","24 Go","1 To","Nvidia GeForce","Nvidia Geforce MX350, 2 Go de Mémoire Dédiée","15.6""","Pc portable HP 15-dw3009nk ",2079,"https://www.tunisianet.com.tn/192350-large/pc-portable-hp-15-dw3009nk-i5-11e-gen-24-go-gris-antivirus-bitdefender-internet-security.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 11","Intel Core i7","Intel Core i7-11800H, 11éme Génération, 2.3 Ghz up to 4.6 Ghz, 24 Mo de mémoire cache","12 Go","1 To","Nvidia GeForce","Nvidia Geforce MX350, 2 Go de Mémoire Dédiée","15.6""","PC Portable HP 15-dw3057nk ",2059,"https://www.tunisianet.com.tn/250624-large/pc-portable-hp-15-dw3057nk-i5-11e-gen-12-go-noir.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 11","Intel Core i7","Intel Core i7-11800H, 11éme Génération, 2.3 Ghz up to 4.6 Ghz, 24 Mo de mémoire cache","12 Go","1 To","Nvidia GeForce","Nvidia Geforce MX350, 2 Go de Mémoire Dédiée","15.6""","PC Portable HP 15-dw3056nk ",2059,"https://www.tunisianet.com.tn/250613-large/pc-portable-hp-15-dw3056nk-i5-11e-gen-12-go-gris.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 11","Intel Core i7","Intel Core i7-11800H, 11éme Génération, 2.3 Ghz up to 4.6 Ghz, 24 Mo de mémoire cache","24 Go","1 To","Graphique Intégrée","Intel Iris Xe","15.6""","PC Portable HP 15-dw3063nk ",2055,"https://www.tunisianet.com.tn/250555-large/pc-portable-hp-15-dw3063nk-i5-11e-gen-24-go-noir.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 11","Intel Core i7","Intel Core i7-11800H, 11éme Génération, 2.3 Ghz up to 4.6 Ghz, 24 Mo de mémoire cache","24 Go","1 To","Graphique Intégrée","Intel Iris Xe","15.6""","PC Portable HP 15-dw3062nk ",2055,"https://www.tunisianet.com.tn/250582-large/pc-portable-hp-15-dw3062nk-i5-11e-gen-24-go-gris.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 11","Intel Core i9","Intel Core i9-10885H , 2.4 Ghz up to 5.3 Ghz, 16 Mo de mémoire cache","12 Go","512 Go SSD","Graphique Intégrée","Intel Iris Xe Graphics","15.6""","PC Portable MSI Modern A11MU ",2044,"https://www.tunisianet.com.tn/245535-large/pc-portable-msi-modern-a11mu-i5-11e-gen-12-go-gris.jpg","https://www.tunisianet.com.tn/img/m/339.jpg","MSI"
"Windows 10","Intel Core i7","Intel Core i7-10870H, 10é Gén, 2.2 Ghz up to 5.0 Ghz, 16 Mo de mémoire cache","24 Go","256 Go SSD","Graphique Intégrée","Intel UHD Graphics","15.6""","PC Portable HP Pavilion 15-eg0013nk ",2038,"https://www.tunisianet.com.tn/245089-large/pc-portable-hp-pavilion-15-eg0013nk-i3-11e-gen-24-go-bleu.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i7","Intel Core i7-11800H, 11éme Génération, 2.3 Ghz up to 4.6 Ghz, 24 Mo de mémoire cache","16 Go","1 To","Nvidia GeForce","Nvidia Geforce MX350, 2 Go de Mémoire Dédiée","15.6""","Pc portable HP 15-dw3009nk ",2019,"https://www.tunisianet.com.tn/192344-large/pc-portable-hp-15-dw3009nk-i5-11e-gen-16-go-gris-antivirus-bitdefender-internet-security-.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 11","Intel Core i7","Intel Core i7-11800H, 11éme Génération, 2.3 Ghz up to 4.6 Ghz, 24 Mo de mémoire cache","8 Go","1 To","Nvidia GeForce","Nvidia Geforce MX350, 2 Go de Mémoire Dédiée","15.6""","PC Portable HP 15-dw3056nk ",2019,"https://www.tunisianet.com.tn/248813-large/pc-portable-hp-15-dw3056nk-i5-11e-gen-8-go-gris.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i9","Intel Core i9-10885H , 2.4 Ghz up to 5.3 Ghz, 16 Mo de mémoire cache","16 Go","1 To","Nvidia GeForce","Nvidia Geforce MX350, 2 Go de Mémoire Dédiée","15.6""","Pc portable HP 15-dw3010nk ",2019,"https://www.tunisianet.com.tn/192324-large/pc-portable-hp-15-dw3010nk-i5-11e-gen-16-go-noir-antivirus-bitdefender-internet-security.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 11","Intel Core i7","Intel Core i7-11800H, 11éme Génération, 2.3 Ghz up to 4.6 Ghz, 24 Mo de mémoire cache","8 Go","1 To","Nvidia GeForce","Nvidia Geforce MX350, 2 Go de Mémoire Dédiée","15.6""","PC Portable HP 15-dw3057nk ",2019,"https://www.tunisianet.com.tn/248824-large/pc-portable-hp-15-dw3057nk-i5-11e-gen-8-go-noir.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"FreeDos","Intel Core i9","Intel Core i9-10885H , 2.4 Ghz up to 5.3 Ghz, 16 Mo de mémoire cache","16 Go","256 Go SSD","Graphique Intégrée","Intel UHD Graphics","15.6""","PC Portable Dell Latitude 3520 ",2018,"https://www.tunisianet.com.tn/250451-large/pc-portable-dell-latitude-3520-i3-11e-gen-16-go.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
"FreeDos","Intel Core i7","Intel Core i7-1195G7, 11éme Génération, 2.9 Ghz up to 5.0 Ghz, 12 Mo de mémoire cache","24 Go","1 To","Graphique Intégrée","Intel Iris Xe Graphics","15.6""","PC Portable Dell Vostro 3500 ",2012,"https://www.tunisianet.com.tn/244474-large/pc-portable-dell-vostro-3500-i5-11e-gen-24-go-noir.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
"Windows 11","Intel Core i7","Intel Core i7-12700H, up to 4.7 Ghz, 24 Mo de mémoire cache","8 Go","512 Go SSD","Graphique Intégrée","Intel Iris Xe Graphics","15.6""","PC Portable MSI Modern A11MU ",1999,"https://www.tunisianet.com.tn/245531-large/pc-portable-msi-modern-a11mu-i5-11e-gen-8-go-gris.jpg","https://www.tunisianet.com.tn/img/m/339.jpg","MSI"
"Windows 11","Intel Core i7","Intel Core i7-8750H, 2.20 GHz up to 4.10 GHz, 9M de mémoire Cache","20 Go","1 To","Graphique Intégrée","Intel Iris Xe","15.6""","PC Portable HP 15-dw3062nk ",1989,"https://www.tunisianet.com.tn/250575-large/pc-portable-hp-15-dw3062nk-i5-11e-gen-20-go-gris.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 11","Intel Core i7","Intel Core i7-1160G7, up to 4.4 Ghz avec IPU, 12 Mo de mémoire cache","20 Go","1 To","Graphique Intégrée","Intel Iris Xe","15.6""","PC Portable HP 15-dw3063nk ",1989,"https://www.tunisianet.com.tn/250543-large/pc-portable-hp-15-dw3063nk-i5-11e-gen-20-go-noir.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","24 Go","1 To","Graphique Intégrée","Intel Iris Xe","15.6""","Pc portable HP 15-dw3013nk ",1989,"https://www.tunisianet.com.tn/199997-large/pc-portable-hp-15-dw3013nk-i5-11e-gen-24-go-silver-.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i7","Intel Core i7-10870H, 10é Gén, 2.2 Ghz up to 5.0 Ghz, 16 Mo de mémoire cache","12 Go","512 Go SSD","AMD Radeon","amd radeon rx vega 10 ","15.6""","PC Portable Lenovo IdeaPad 3 15ADA05 ",1982,"https://www.tunisianet.com.tn/255090-large/pc-portable-lenovo-ideapad-3-15ada05-amd-ryzen-7-12-go-512-go-ssd-windows-10-bleu.jpg","https://www.tunisianet.com.tn/img/m/3.jpg","Lenovo"
